dia,S,I,R
272,1966,0,998034
273,1966,0,998034
274,1966,0,998034
275,1966,0,998034
276,1966,0,998034
277,1966,0,998034
278,1966,0,998034
279,1966,0,998034
280,1966,0,998034
281,1966,0,998034
282,1966,0,998034
283,1966,0,998034
284,1966,0,998034
285,1966,0,998034
286,1966,0,998034
287,1966,0,998034
288,1966,0,998034
289,1966,0,998034
290,1966,0,998034
291,1966,0,998034
292,1966,0,998034
293,1966,0,998034
294,1966,0,998034
295,1966,0,998034
296,1966,0,998034
297,1966,0,998034
298,1966,0,998034
299,1966,0,998034
300,1966,0,998034
301,1966,0,998034
302,1966,0,998034
303,1966,0,998034
304,1966,0,998034
305,1966,0,998034
306,1966,0,998034
307,1966,0,998034
308,1966,0,998034
309,1966,0,998034
310,1966,0,998034
311,1966,0,998034
312,1966,0,998034
313,1966,0,998034
314,1966,0,998034
315,1966,0,998034
316,1966,0,998034
317,1966,0,998034
318,1966,0,998034
319,1966,0,998034
320,1966,0,998034
321,1966,0,998034
322,1966,0,998034
323,1966,0,998034
324,1966,0,998034
325,1966,0,998034
326,1966,0,998034
327,1966,0,998034
328,1966,0,998034
329,1966,0,998034
330,1966,0,998034
331,1966,0,998034
332,1966,0,998034
333,1966,0,998034
334,1966,0,998034
335,1966,0,998034
336,1966,0,998034
337,1966,0,998034
338,1966,0,998034
339,1966,0,998034
340,1966,0,998034
341,1966,0,998034
342,1966,0,998034
343,1966,0,998034
344,1966,0,998034
345,1966,0,998034
346,1966,0,998034
347,1966,0,998034
348,1966,0,998034
349,1966,0,998034
350,1966,0,998034
351,1966,0,998034
352,1966,0,998034
353,1966,0,998034
354,1966,0,998034
355,1966,0,998034
356,1966,0,998034
357,1966,0,998034
358,1966,0,998034
359,1966,0,998034
360,1966,0,998034
361,1966,0,998034
362,1966,0,998034
363,1966,0,998034
364,1966,0,998034
