dia,S,I,R
0,990000,10000,0
1,967388,31378,1234
2,931378,63689,4933
3,881552,105800,12648
4,818832,155810,25358
5,744894,211023,44083
6,662957,267644,69399
7,577102,320888,102010
8,490849,368715,140436
9,408528,406793,184679
10,333222,433212,233566
11,266241,448204,285555
12,208758,451965,339277
13,160933,445693,393374
14,122372,430956,446672
15,91849,409889,498262
16,68157,384481,547362
17,50321,356428,593251
18,36705,327214,636081
19,26877,297814,675309
20,19693,268936,711371
21,14481,242243,743276
22,10668,216948,772384
23,8046,193450,798504
24,6105,172419,821476
25,4744,153275,841981
26,3829,135710,860461
27,3150,120126,876724
28,2697,106178,891125
29,2413,93728,903859
30,2200,82784,915016
31,2053,72982,924965
32,1963,64288,933749
33,1899,56744,941357
34,1861,49979,948160
35,1828,44132,954040
36,1811,38900,959289
37,1804,34152,964044
38,1789,30066,968145
39,1782,26394,971824
40,1777,23319,974904
41,1776,20537,977687
42,1773,18074,980153
43,1773,15931,982296
44,1773,13998,984229
45,1773,12387,985840
46,1773,10917,987310
47,1773,9587,988640
48,1773,8422,989805
49,1773,7461,990766
50,1773,6546,991681
51,1773,5753,992474
52,1773,5046,993181
53,1773,4453,993774
54,1773,3913,994314
55,1773,3442,994785
56,1773,3049,995178
57,1773,2637,995590
58,1773,2334,995893
59,1773,2056,996171
60,1773,1826,996401
61,1773,1620,996607
62,1773,1430,996797
63,1773,1277,996950
64,1773,1132,997095
65,1773,983,997244
66,1773,876,997351
67,1773,772,997455
68,1773,690,997537
69,1773,603,997624
70,1773,531,997696
71,1773,449,997778
72,1773,387,997840
73,1773,339,997888
74,1773,297,997930
75,1773,260,997967
76,1773,233,997994
77,1773,206,998021
78,1773,177,998050
79,1773,156,998071
80,1773,133,998094
81,1773,113,998114
82,1773,95,998132
83,1773,83,998144
84,1773,73,998154
85,1773,61,998166
86,1773,52,998175
87,1773,47,998180
88,1773,42,998185
89,1773,37,998190
90,1773,32,998195
91,1773,28,998199
92,1773,27,998200
93,1773,24,998203
94,1773,20,998207
95,1773,20,998207
96,1773,15,998212
97,1773,12,998215
98,1773,12,998215
99,1773,12,998215
100,1773,10,998217
101,1773,10,998217
102,1773,9,998218
103,1773,7,998220
104,1773,7,998220
105,1773,6,998221
106,1773,6,998221
107,1773,6,998221
108,1773,4,998223
109,1773,4,998223
110,1773,4,998223
111,1773,4,998223
112,1773,3,998224
113,1773,1,998226
114,1773,0,998227
115,1773,0,998227
116,1773,0,998227
117,1773,0,998227
118,1773,0,998227
119,1773,0,998227
120,1773,0,998227
121,1773,0,998227
122,1773,0,998227
123,1773,0,998227
124,1773,0,998227
125,1773,0,998227
126,1773,0,998227
127,1773,0,998227
128,1773,0,998227
129,1773,0,998227
130,1773,0,998227
131,1773,0,998227
132,1773,0,998227
133,1773,0,998227
134,1773,0,998227
135,1773,0,998227
136,1773,0,998227
137,1773,0,998227
138,1773,0,998227
139,1773,0,998227
140,1773,0,998227
141,1773,0,998227
142,1773,0,998227
143,1773,0,998227
144,1773,0,998227
145,1773,0,998227
146,1773,0,998227
147,1773,0,998227
148,1773,0,998227
149,1773,0,998227
150,1773,0,998227
151,1773,0,998227
152,1773,0,998227
153,1773,0,998227
154,1773,0,998227
155,1773,0,998227
156,1773,0,998227
157,1773,0,998227
158,1773,0,998227
159,1773,0,998227
160,1773,0,998227
161,1773,0,998227
162,1773,0,998227
163,1773,0,998227
164,1773,0,998227
165,1773,0,998227
166,1773,0,998227
167,1773,0,998227
168,1773,0,998227
169,1773,0,998227
170,1773,0,998227
171,1773,0,998227
172,1773,0,998227
173,1773,0,998227
174,1773,0,998227
175,1773,0,998227
176,1773,0,998227
177,1773,0,998227
178,1773,0,998227
179,1773,0,998227
180,1773,0,998227
181,1773,0,998227
182,1773,0,998227
183,1773,0,998227
184,1773,0,998227
185,1773,0,998227
186,1773,0,998227
187,1773,0,998227
188,1773,0,998227
189,1773,0,998227
190,1773,0,998227
191,1773,0,998227
192,1773,0,998227
193,1773,0,998227
194,1773,0,998227
195,1773,0,998227
196,1773,0,998227
197,1773,0,998227
198,1773,0,998227
199,1773,0,998227
200,1773,0,998227
201,1773,0,998227
202,1773,0,998227
203,1773,0,998227
204,1773,0,998227
205,1773,0,998227
206,1773,0,998227
207,1773,0,998227
208,1773,0,998227
209,1773,0,998227
210,1773,0,998227
211,1773,0,998227
212,1773,0,998227
213,1773,0,998227
214,1773,0,998227
215,1773,0,998227
216,1773,0,998227
217,1773,0,998227
218,1773,0,998227
219,1773,0,998227
220,1773,0,998227
221,1773,0,998227
222,1773,0,998227
223,1773,0,998227
224,1773,0,998227
225,1773,0,998227
226,1773,0,998227
227,1773,0,998227
228,1773,0,998227
229,1773,0,998227
230,1773,0,998227
231,1773,0,998227
232,1773,0,998227
233,1773,0,998227
234,1773,0,998227
235,1773,0,998227
236,1773,0,998227
237,1773,0,998227
238,1773,0,998227
239,1773,0,998227
240,1773,0,998227
241,1773,0,998227
242,1773,0,998227
243,1773,0,998227
244,1773,0,998227
245,1773,0,998227
246,1773,0,998227
247,1773,0,998227
248,1773,0,998227
249,1773,0,998227
250,1773,0,998227
251,1773,0,998227
252,1773,0,998227
253,1773,0,998227
254,1773,0,998227
255,1773,0,998227
256,1773,0,998227
257,1773,0,998227
258,1773,0,998227
259,1773,0,998227
260,1773,0,998227
261,1773,0,998227
262,1773,0,998227
263,1773,0,998227
264,1773,0,998227
265,1773,0,998227
266,1773,0,998227
267,1773,0,998227
268,1773,0,998227
269,1773,0,998227
270,1773,0,998227
271,1773,0,998227
272,1773,0,998227
273,1773,0,998227
274,1773,0,998227
275,1773,0,998227
276,1773,0,998227
277,1773,0,998227
278,1773,0,998227
279,1773,0,998227
280,1773,0,998227
281,1773,0,998227
282,1773,0,998227
283,1773,0,998227
284,1773,0,998227
285,1773,0,998227
286,1773,0,998227
287,1773,0,998227
288,1773,0,998227
289,1773,0,998227
290,1773,0,998227
291,1773,0,998227
292,1773,0,998227
293,1773,0,998227
294,1773,0,998227
295,1773,0,998227
296,1773,0,998227
297,1773,0,998227
298,1773,0,998227
299,1773,0,998227
300,1773,0,998227
301,1773,0,998227
302,1773,0,998227
303,1773,0,998227
304,1773,0,998227
305,1773,0,998227
306,1773,0,998227
307,1773,0,998227
308,1773,0,998227
309,1773,0,998227
310,1773,0,998227
311,1773,0,998227
312,1773,0,998227
313,1773,0,998227
314,1773,0,998227
315,1773,0,998227
316,1773,0,998227
317,1773,0,998227
318,1773,0,998227
319,1773,0,998227
320,1773,0,998227
321,1773,0,998227
322,1773,0,998227
323,1773,0,998227
324,1773,0,998227
325,1773,0,998227
326,1773,0,998227
327,1773,0,998227
328,1773,0,998227
329,1773,0,998227
330,1773,0,998227
331,1773,0,998227
332,1773,0,998227
333,1773,0,998227
334,1773,0,998227
335,1773,0,998227
336,1773,0,998227
337,1773,0,998227
338,1773,0,998227
339,1773,0,998227
340,1773,0,998227
341,1773,0,998227
342,1773,0,998227
343,1773,0,998227
344,1773,0,998227
345,1773,0,998227
346,1773,0,998227
347,1773,0,998227
348,1773,0,998227
349,1773,0,998227
350,1773,0,998227
351,1773,0,998227
352,1773,0,998227
353,1773,0,998227
354,1773,0,998227
355,1773,0,998227
356,1773,0,998227
357,1773,0,998227
358,1773,0,998227
359,1773,0,998227
360,1773,0,998227
361,1773,0,998227
362,1773,0,998227
363,1773,0,998227
364,1773,0,998227
