dia,S,I,R
0,990000,10000,0
1,967291,31438,1271
2,931369,63547,5084
3,881406,105847,12747
4,818327,156157,25516
5,744213,211733,44054
6,662099,268580,69321
7,576208,322141,101651
8,489692,370078,140230
9,407542,407790,184668
10,331827,434537,233636
11,264814,449011,286175
12,207390,452626,339984
13,159893,446172,393935
14,121501,431438,447061
15,90827,410028,499145
16,67260,384482,548258
17,49537,356489,593974
18,36247,326841,636912
19,26403,297436,676161
20,19192,268996,711812
21,14137,241746,744117
22,10459,216031,773510
23,7791,192489,799720
24,5993,171138,822869
25,4649,152142,843209
26,3736,134804,861460
27,3067,119300,877633
28,2650,105419,891931
29,2327,93139,904534
30,2122,82142,915736
31,1979,72215,925806
32,1859,63561,934580
33,1812,55960,942228
34,1764,49303,948933
35,1743,43377,954880
36,1723,38132,960145
37,1712,33532,964756
38,1708,29452,968840
39,1703,25945,972352
40,1702,22817,975481
41,1695,20152,978153
42,1694,17709,980597
43,1691,15555,982754
44,1690,13641,984669
45,1690,11914,986396
46,1690,10454,987856
47,1690,9228,989082
48,1690,8176,990134
49,1690,7228,991082
50,1690,6361,991949
51,1690,5639,992671
52,1690,5035,993275
53,1690,4432,993878
54,1690,3897,994413
55,1690,3413,994897
56,1690,2972,995338
57,1690,2621,995689
58,1690,2318,995992
59,1690,2039,996271
60,1690,1792,996518
61,1690,1584,996726
62,1690,1390,996920
63,1690,1232,997078
64,1690,1081,997229
65,1690,957,997353
66,1690,832,997478
67,1690,727,997583
68,1690,626,997684
69,1690,536,997774
70,1690,469,997841
71,1690,412,997898
72,1690,360,997950
73,1690,312,997998
74,1690,279,998031
75,1690,247,998063
76,1690,215,998095
77,1690,187,998123
78,1690,166,998144
79,1690,152,998158
80,1690,135,998175
81,1690,126,998184
82,1690,105,998205
83,1690,92,998218
84,1690,78,998232
85,1690,71,998239
86,1690,66,998244
87,1690,58,998252
88,1690,48,998262
89,1690,43,998267
90,1690,41,998269
91,1690,37,998273
92,1690,31,998279
93,1690,29,998281
94,1690,23,998287
95,1690,21,998289
96,1690,19,998291
97,1690,18,998292
98,1690,18,998292
99,1690,18,998292
100,1690,17,998293
101,1690,14,998296
102,1690,13,998297
103,1690,11,998299
104,1690,9,998301
105,1690,8,998302
106,1690,7,998303
107,1690,6,998304
108,1690,6,998304
109,1690,6,998304
110,1690,6,998304
111,1690,6,998304
112,1690,5,998305
113,1690,5,998305
114,1690,4,998306
115,1690,4,998306
116,1690,2,998308
117,1690,2,998308
118,1690,2,998308
