dia,S,I,R
119,1690,2,998308
120,1690,1,998309
121,1690,1,998309
122,1690,0,998310
123,1690,0,998310
124,1690,0,998310
125,1690,0,998310
126,1690,0,998310
127,1690,0,998310
128,1690,0,998310
129,1690,0,998310
130,1690,0,998310
131,1690,0,998310
132,1690,0,998310
133,1690,0,998310
134,1690,0,998310
135,1690,0,998310
136,1690,0,998310
137,1690,0,998310
138,1690,0,998310
139,1690,0,998310
140,1690,0,998310
141,1690,0,998310
142,1690,0,998310
143,1690,0,998310
144,1690,0,998310
145,1690,0,998310
146,1690,0,998310
147,1690,0,998310
148,1690,0,998310
149,1690,0,998310
150,1690,0,998310
151,1690,0,998310
152,1690,0,998310
153,1690,0,998310
154,1690,0,998310
155,1690,0,998310
156,1690,0,998310
157,1690,0,998310
158,1690,0,998310
159,1690,0,998310
160,1690,0,998310
161,1690,0,998310
162,1690,0,998310
163,1690,0,998310
164,1690,0,998310
165,1690,0,998310
166,1690,0,998310
167,1690,0,998310
168,1690,0,998310
169,1690,0,998310
170,1690,0,998310
171,1690,0,998310
172,1690,0,998310
173,1690,0,998310
174,1690,0,998310
175,1690,0,998310
176,1690,0,998310
177,1690,0,998310
178,1690,0,998310
179,1690,0,998310
180,1690,0,998310
181,1690,0,998310
182,1690,0,998310
183,1690,0,998310
184,1690,0,998310
185,1690,0,998310
186,1690,0,998310
187,1690,0,998310
188,1690,0,998310
189,1690,0,998310
190,1690,0,998310
191,1690,0,998310
192,1690,0,998310
193,1690,0,998310
194,1690,0,998310
195,1690,0,998310
196,1690,0,998310
197,1690,0,998310
198,1690,0,998310
199,1690,0,998310
200,1690,0,998310
201,1690,0,998310
202,1690,0,998310
203,1690,0,998310
204,1690,0,998310
205,1690,0,998310
206,1690,0,998310
207,1690,0,998310
208,1690,0,998310
209,1690,0,998310
210,1690,0,998310
211,1690,0,998310
212,1690,0,998310
213,1690,0,998310
214,1690,0,998310
215,1690,0,998310
216,1690,0,998310
217,1690,0,998310
218,1690,0,998310
219,1690,0,998310
220,1690,0,998310
221,1690,0,998310
222,1690,0,998310
223,1690,0,998310
224,1690,0,998310
225,1690,0,998310
226,1690,0,998310
227,1690,0,998310
228,1690,0,998310
229,1690,0,998310
230,1690,0,998310
231,1690,0,998310
232,1690,0,998310
233,1690,0,998310
234,1690,0,998310
235,1690,0,998310
236,1690,0,998310
237,1690,0,998310
238,1690,0,998310
239,1690,0,998310
240,1690,0,998310
241,1690,0,998310
242,1690,0,998310
243,1690,0,998310
244,1690,0,998310
245,1690,0,998310
246,1690,0,998310
247,1690,0,998310
248,1690,0,998310
249,1690,0,998310
250,1690,0,998310
251,1690,0,998310
252,1690,0,998310
253,1690,0,998310
254,1690,0,998310
255,1690,0,998310
256,1690,0,998310
257,1690,0,998310
258,1690,0,998310
259,1690,0,998310
260,1690,0,998310
261,1690,0,998310
262,1690,0,998310
263,1690,0,998310
264,1690,0,998310
265,1690,0,998310
266,1690,0,998310
267,1690,0,998310
268,1690,0,998310
269,1690,0,998310
270,1690,0,998310
271,1690,0,998310
272,1690,0,998310
273,1690,0,998310
274,1690,0,998310
275,1690,0,998310
276,1690,0,998310
277,1690,0,998310
278,1690,0,998310
279,1690,0,998310
280,1690,0,998310
281,1690,0,998310
282,1690,0,998310
283,1690,0,998310
284,1690,0,998310
285,1690,0,998310
286,1690,0,998310
287,1690,0,998310
288,1690,0,998310
289,1690,0,998310
290,1690,0,998310
291,1690,0,998310
292,1690,0,998310
293,1690,0,998310
294,1690,0,998310
295,1690,0,998310
296,1690,0,998310
297,1690,0,998310
298,1690,0,998310
299,1690,0,998310
300,1690,0,998310
301,1690,0,998310
302,1690,0,998310
303,1690,0,998310
304,1690,0,998310
305,1690,0,998310
306,1690,0,998310
307,1690,0,998310
308,1690,0,998310
309,1690,0,998310
310,1690,0,998310
311,1690,0,998310
312,1690,0,998310
313,1690,0,998310
314,1690,0,998310
315,1690,0,998310
316,1690,0,998310
317,1690,0,998310
318,1690,0,998310
319,1690,0,998310
320,1690,0,998310
321,1690,0,998310
322,1690,0,998310
323,1690,0,998310
324,1690,0,998310
325,1690,0,998310
326,1690,0,998310
327,1690,0,998310
328,1690,0,998310
329,1690,0,998310
330,1690,0,998310
331,1690,0,998310
332,1690,0,998310
333,1690,0,998310
334,1690,0,998310
335,1690,0,998310
336,1690,0,998310
337,1690,0,998310
338,1690,0,998310
339,1690,0,998310
340,1690,0,998310
341,1690,0,998310
342,1690,0,998310
343,1690,0,998310
344,1690,0,998310
345,1690,0,998310
346,1690,0,998310
347,1690,0,998310
348,1690,0,998310
349,1690,0,998310
350,1690,0,998310
351,1690,0,998310
352,1690,0,998310
353,1690,0,998310
354,1690,0,998310
355,1690,0,998310
356,1690,0,998310
357,1690,0,998310
358,1690,0,998310
359,1690,0,998310
360,1690,0,998310
361,1690,0,998310
362,1690,0,998310
363,1690,0,998310
364,1690,0,998310
