dia,S,I,R
0,990000,10000,0
1,967034,31797,1169
2,931021,63970,5009
3,881021,106185,12794
4,817903,156542,25555
5,743848,211855,44297
6,662070,268081,69849
7,576071,321881,102048
8,490097,369363,140540
9,408448,406286,185266
10,332984,432668,234348
11,266131,447549,286320
12,209248,450905,339847
13,161328,444667,394005
14,122666,430057,447277
15,91908,409065,499027
16,68295,383342,548363
17,50461,355119,594420
18,36977,326327,636696
19,26944,297313,675743
20,19641,268994,711365
21,14379,242327,743294
22,10627,217041,772332
23,7942,193701,798357
24,6072,172315,821613
25,4778,152748,842474
26,3837,135357,860806
27,3153,119763,877084
28,2717,105709,891574
29,2395,93203,904402
30,2180,82285,915535
31,2039,72569,925392
32,1926,64050,934024
33,1870,56449,941681
34,1838,49649,948513
35,1812,43660,954528
36,1797,38457,959746
37,1785,33769,964446
38,1777,29700,968523
39,1772,26143,972085
40,1771,22983,975246
41,1769,20180,978051
42,1769,17693,980538
43,1768,15588,982644
44,1768,13702,984530
45,1768,12032,986200
46,1768,10540,987692
47,1768,9181,989051
48,1768,8021,990211
49,1768,7029,991203
50,1768,6159,992073
51,1768,5416,992816
52,1768,4776,993456
53,1768,4226,994006
54,1768,3690,994542
55,1768,3250,994982
56,1768,2892,995340
57,1768,2554,995678
58,1768,2238,995994
59,1768,1975,996257
60,1768,1727,996505
61,1768,1507,996725
62,1768,1332,996900
63,1768,1176,997056
64,1768,1027,997205
65,1768,898,997334
66,1768,803,997429
67,1768,719,997513
68,1768,641,997591
69,1768,560,997672
70,1768,500,997732
71,1768,455,997777
72,1768,411,997821
73,1768,368,997864
74,1768,331,997901
75,1768,295,997937
76,1768,263,997969
77,1768,232,998000
78,1768,207,998025
79,1768,189,998043
80,1768,165,998067
81,1768,147,998085
82,1768,130,998102
83,1768,117,998115
84,1768,99,998133
85,1768,82,998150
86,1768,71,998161
87,1768,66,998166
88,1768,56,998176
89,1768,43,998189
90,1768,35,998197
91,1768,32,998200
92,1768,31,998201
93,1768,28,998204
94,1768,27,998205
95,1768,22,998210
96,1768,19,998213
97,1768,17,998215
98,1768,15,998217
99,1768,15,998217
100,1768,15,998217
101,1768,15,998217
102,1768,14,998218
103,1768,12,998220
104,1768,11,998221
105,1768,9,998223
106,1768,7,998225
107,1768,6,998226
108,1768,5,998227
109,1768,4,998228
110,1768,4,998228
111,1768,3,998229
112,1768,2,998230
113,1768,1,998231
114,1768,1,998231
115,1768,1,998231
116,1768,0,998232
117,1768,0,998232
118,1768,0,998232
119,1768,0,998232
120,1768,0,998232
121,1768,0,998232
122,1768,0,998232
123,1768,0,998232
124,1768,0,998232
125,1768,0,998232
126,1768,0,998232
127,1768,0,998232
128,1768,0,998232
129,1768,0,998232
130,1768,0,998232
131,1768,0,998232
132,1768,0,998232
133,1768,0,998232
134,1768,0,998232
135,1768,0,998232
136,1768,0,998232
137,1768,0,998232
138,1768,0,998232
139,1768,0,998232
140,1768,0,998232
141,1768,0,998232
142,1768,0,998232
143,1768,0,998232
144,1768,0,998232
145,1768,0,998232
146,1768,0,998232
147,1768,0,998232
148,1768,0,998232
149,1768,0,998232
150,1768,0,998232
151,1768,0,998232
152,1768,0,998232
153,1768,0,998232
154,1768,0,998232
155,1768,0,998232
156,1768,0,998232
157,1768,0,998232
158,1768,0,998232
159,1768,0,998232
160,1768,0,998232
161,1768,0,998232
162,1768,0,998232
163,1768,0,998232
164,1768,0,998232
165,1768,0,998232
166,1768,0,998232
167,1768,0,998232
168,1768,0,998232
169,1768,0,998232
170,1768,0,998232
171,1768,0,998232
172,1768,0,998232
173,1768,0,998232
174,1768,0,998232
175,1768,0,998232
176,1768,0,998232
177,1768,0,998232
178,1768,0,998232
179,1768,0,998232
180,1768,0,998232
181,1768,0,998232
182,1768,0,998232
183,1768,0,998232
184,1768,0,998232
185,1768,0,998232
186,1768,0,998232
187,1768,0,998232
188,1768,0,998232
189,1768,0,998232
190,1768,0,998232
191,1768,0,998232
192,1768,0,998232
193,1768,0,998232
194,1768,0,998232
195,1768,0,998232
196,1768,0,998232
197,1768,0,998232
198,1768,0,998232
199,1768,0,998232
200,1768,0,998232
201,1768,0,998232
202,1768,0,998232
203,1768,0,998232
204,1768,0,998232
205,1768,0,998232
206,1768,0,998232
207,1768,0,998232
208,1768,0,998232
209,1768,0,998232
210,1768,0,998232
211,1768,0,998232
212,1768,0,998232
213,1768,0,998232
214,1768,0,998232
215,1768,0,998232
216,1768,0,998232
217,1768,0,998232
218,1768,0,998232
219,1768,0,998232
220,1768,0,998232
221,1768,0,998232
222,1768,0,998232
223,1768,0,998232
224,1768,0,998232
225,1768,0,998232
226,1768,0,998232
227,1768,0,998232
228,1768,0,998232
229,1768,0,998232
230,1768,0,998232
231,1768,0,998232
232,1768,0,998232
233,1768,0,998232
234,1768,0,998232
235,1768,0,998232
236,1768,0,998232
237,1768,0,998232
238,1768,0,998232
239,1768,0,998232
240,1768,0,998232
241,1768,0,998232
242,1768,0,998232
243,1768,0,998232
244,1768,0,998232
245,1768,0,998232
246,1768,0,998232
247,1768,0,998232
248,1768,0,998232
249,1768,0,998232
250,1768,0,998232
251,1768,0,998232
252,1768,0,998232
253,1768,0,998232
254,1768,0,998232
255,1768,0,998232
256,1768,0,998232
257,1768,0,998232
258,1768,0,998232
259,1768,0,998232
260,1768,0,998232
261,1768,0,998232
262,1768,0,998232
263,1768,0,998232
264,1768,0,998232
265,1768,0,998232
266,1768,0,998232
267,1768,0,998232
268,1768,0,998232
269,1768,0,998232
270,1768,0,998232
271,1768,0,998232
272,1768,0,998232
273,1768,0,998232
274,1768,0,998232
275,1768,0,998232
276,1768,0,998232
277,1768,0,998232
278,1768,0,998232
279,1768,0,998232
280,1768,0,998232
281,1768,0,998232
282,1768,0,998232
283,1768,0,998232
284,1768,0,998232
285,1768,0,998232
286,1768,0,998232
287,1768,0,998232
288,1768,0,998232
289,1768,0,998232
290,1768,0,998232
291,1768,0,998232
292,1768,0,998232
293,1768,0,998232
294,1768,0,998232
295,1768,0,998232
296,1768,0,998232
297,1768,0,998232
298,1768,0,998232
299,1768,0,998232
300,1768,0,998232
301,1768,0,998232
302,1768,0,998232
303,1768,0,998232
304,1768,0,998232
305,1768,0,998232
306,1768,0,998232
307,1768,0,998232
308,1768,0,998232
309,1768,0,998232
310,1768,0,998232
311,1768,0,998232
312,1768,0,998232
313,1768,0,998232
314,1768,0,998232
315,1768,0,998232
316,1768,0,998232
317,1768,0,998232
318,1768,0,998232
319,1768,0,998232
320,1768,0,998232
321,1768,0,998232
322,1768,0,998232
323,1768,0,998232
324,1768,0,998232
325,1768,0,998232
326,1768,0,998232
327,1768,0,998232
328,1768,0,998232
329,1768,0,998232
330,1768,0,998232
331,1768,0,998232
332,1768,0,998232
333,1768,0,998232
334,1768,0,998232
335,1768,0,998232
336,1768,0,998232
337,1768,0,998232
338,1768,0,998232
339,1768,0,998232
340,1768,0,998232
341,1768,0,998232
342,1768,0,998232
343,1768,0,998232
344,1768,0,998232
345,1768,0,998232
346,1768,0,998232
347,1768,0,998232
348,1768,0,998232
349,1768,0,998232
350,1768,0,998232
351,1768,0,998232
352,1768,0,998232
353,1768,0,998232
354,1768,0,998232
355,1768,0,998232
356,1768,0,998232
357,1768,0,998232
358,1768,0,998232
359,1768,0,998232
360,1768,0,998232
361,1768,0,998232
362,1768,0,998232
363,1768,0,998232
364,1768,0,998232
